domain,model,regime,n,baseline_MAE,model_MAE,pct_improvement_vs_baseline,t_stat,p_value,significant_95pct
financial,fast,overall,501,0.0061541835873574705,0.006276086479290632,-1.9808133800815766,-2.6098463489881882,0.009329865663910867,True
financial,fast,volatile,62,0.008373750752043914,0.008608085279967247,-2.798441640577074,-1.4122774649416958,0.16294978073254499,False
financial,fast,stable,96,0.004534061884824012,0.0046542427942477095,-2.650623491178103,-1.2822120496781944,0.20288837823794853,False
financial,medium,overall,501,0.0061541835873574705,0.006215235893344391,-0.9920455755063947,-1.7121601652077507,0.08748720352523012,False
financial,medium,volatile,62,0.008373750752043914,0.008519194699030345,-1.7369032264416244,-1.068472781791942,0.28951744599688145,False
financial,medium,stable,96,0.004534061884824012,0.004594589834224122,-1.334960813011917,-0.8972440591590148,0.37185690682122347,False
financial,slow,overall,501,0.0061541835873574705,0.006176832217814881,-0.36802006530870146,-0.8312812069730258,0.40621158281761804,False
financial,slow,volatile,62,0.008373750752043914,0.008451513652898358,-0.9286507702114566,-0.7010659071066646,0.48592775925241466,False
financial,slow,stable,96,0.004534061884824012,0.004554766485387229,-0.45664574258497836,-0.4285569495657893,0.66921582950867,False
consumer,fast,overall,24,0.0021916075863071967,0.004140536654532173,-88.92691740992154,-3.957173010330864,0.0006256339819219561,True
consumer,fast,volatile,9,0.0031334006049726156,0.004538144458660493,-44.831288136556495,-1.4306606092449565,0.19040396975923668,False
consumer,fast,stable,12,0.0017487036711592242,0.004116888363877378,-135.4251570335111,-3.6643975845674737,0.003725878050482231,True
consumer,medium,overall,24,0.0021916075863071967,0.0025731264568063053,-17.40817438681886,-1.4620449147347976,0.15725911057798622,False
consumer,medium,volatile,9,0.0031334006049726156,0.0033414604651506737,-6.6400657435207355,-0.4689348956159861,0.6516296723285245,False
consumer,medium,stable,12,0.0017487036711592242,0.0021325040482218266,-21.947708087567474,-0.9669687248452641,0.35433897539329334,False
consumer,slow,overall,24,0.0021916075863071967,0.0025027802030622615,-14.198372861055052,-1.2907439900299948,0.20961692690730513,False
consumer,slow,volatile,9,0.0031334006049726156,0.003262338155384015,-4.114939858209622,-0.3093735212910863,0.7649418206016396,False
consumer,slow,stable,12,0.0017487036711592242,0.0020846677892458476,-19.212181207574815,-0.9343815384867858,0.37016520043539464,False
disease,fast,overall,341,0.04598030859273892,0.04250011828422849,7.568871142939673,2.310604164262434,0.021452733723059794,True
disease,medium,overall,341,0.04598030859273892,0.04086793694245996,11.118611002724526,6.623231135957474,1.3746975167710444e-10,True
disease,slow,overall,341,0.04598030859273892,0.04381249024046959,4.7146668185077445,5.230245303891432,2.9651738273009025e-07,True
