domain,model,overall_MAE,overall_RMSE,volatile_MAE,volatile_RMSE,n_volatile,stable_MAE,stable_RMSE,n_stable
financial,baseline,0.0061541835873574705,0.008099068964302819,0.008373750752043914,0.01028091446120791,62.0,0.004534061884824012,0.00592207099713393,96.0
financial,fast,0.006276086479290632,0.008197777141252943,0.008608085279967247,0.010615504007839902,62.0,0.0046542427942477095,0.0059517820672914485,96.0
financial,medium,0.006215235893344391,0.008143142603948784,0.008519194699030345,0.010506191168354596,62.0,0.004594589834224122,0.005909633976910796,96.0
financial,slow,0.006176832217814881,0.008112496570537687,0.008451513652898358,0.010427951956983615,62.0,0.004554766485387229,0.005891860177331087,96.0
consumer,baseline,0.0021916075863071967,0.003469268306937147,0.0031334006049726156,0.004942009741509845,9.0,0.0017487036711592242,0.002326281117914392,12.0
consumer,fast,0.004140536654532173,0.005384892461127396,0.004538144458660493,0.006664136386372585,9.0,0.004116888363877378,0.004704974585732375,12.0
consumer,medium,0.0025731264568063053,0.003568089449380999,0.0033414604651506737,0.004905196866759975,9.0,0.0021325040482218266,0.0024794392323522116,12.0
consumer,slow,0.0025027802030622615,0.0035315300362647813,0.003262338155384015,0.0048868346834844015,9.0,0.0020846677892458476,0.002427184397309836,12.0
disease,baseline,0.04598030859273892,0.06198067407481016,,,,,,
disease,fast,0.04250011828422849,0.06020265193536974,,,,,,
disease,medium,0.04086793694245996,0.05809936226094396,,,,,,
disease,slow,0.04381249024046959,0.06026144509453529,,,,,,
