test_window_start,test_window_end,n_test,garch_MAE
2020-01-01,2020-06-30,182,0.02643587628000534
2020-07-01,2020-12-31,184,0.019500105384026353
2021-01-01,2021-06-30,181,0.03632867620684037
2021-07-01,2021-12-31,184,0.026118885147618832
2022-01-01,2022-06-30,181,0.026192734315583464
2022-07-01,2022-12-31,184,0.01910115207505302
2023-01-01,2023-06-30,181,0.01795574193308248
2023-07-01,2023-12-31,184,0.01302875942198359
2024-01-01,2024-06-30,182,0.020832202666899148
2024-07-01,2024-12-31,184,0.019849910751104125
2025-01-01,2025-06-30,181,0.017264649625285733
2025-07-01,2025-12-31,184,0.014438794239280725
2026-01-01,2026-08-06,218,0.016931958324907494
