test_window_start,test_window_end,n_test,selected_method,baseline_MAE,selected_MAE,ma_linear_MAE,baseline_dir_acc,selected_dir_acc,ma_signal_dir_acc
2020-01-01,2020-06-30,182,powerlaw_feat_a1.0,0.02731738864992597,0.026560658342353476,0.026503195322358085,0.4725274725274725,0.510989010989011,0.521978021978022
2020-07-01,2020-12-31,184,combined_a3.0_S180,0.01966914350267135,0.019745672780828748,0.019403122324620957,0.5652173913043478,0.6086956521739131,0.5597826086956522
2021-01-01,2021-06-30,181,powerlaw_feat_a1.0,0.036073326395684446,0.03622222735901536,0.03633254757955032,0.5138121546961326,0.5027624309392266,0.5248618784530387
2021-07-01,2021-12-31,184,powerlaw_feat_a2.0,0.026223997757903496,0.02610854434210213,0.02616884513486153,0.5163043478260869,0.5217391304347826,0.4782608695652174
2022-01-01,2022-06-30,181,powerlaw_feat_a3.0,0.02649328719940852,0.026188901791913036,0.02619629667195158,0.43646408839779005,0.4861878453038674,0.47513812154696133
2022-07-01,2022-12-31,184,combined_a3.0_S180,0.019196651232352025,0.019018666914241592,0.019168867745420304,0.42934782608695654,0.44565217391304346,0.4782608695652174
2023-01-01,2023-06-30,181,combined_a1.0_S180,0.018117348416161166,0.01812800111347631,0.018094558201069297,0.5082872928176796,0.4972375690607735,0.43646408839779005
2023-07-01,2023-12-31,184,combined_a1.0_S365,0.013149279625568501,0.01287816580825327,0.013010295037378026,0.5163043478260869,0.5054347826086957,0.5434782608695652
2024-01-01,2024-06-30,182,combined_a3.0_S365,0.021016817399436692,0.020817255568999563,0.020831982024004252,0.521978021978022,0.521978021978022,0.4945054945054945
2024-07-01,2024-12-31,184,combined_a3.0_S365,0.020188409770389507,0.019836292704762618,0.019901020500643338,0.5108695652173914,0.5217391304347826,0.4891304347826087
2025-01-01,2025-06-30,181,combined_a3.0_S730,0.017448917625974756,0.017179107130945788,0.01727642822527018,0.4530386740331492,0.5138121546961326,0.5082872928176796
2025-07-01,2025-12-31,184,combined_a3.0_S730,0.01449200371403112,0.014440289240752203,0.014423765240012223,0.532608695652174,0.4891304347826087,0.5
2026-01-01,2026-06-30,181,combined_a2.0_S180,0.018173387143258807,0.017968810782918565,0.01794779540432176,0.4696132596685083,0.4585635359116022,0.5193370165745856
