test_window_start,test_window_end,n_test,selected_method,baseline_MAE,selected_MAE,ma_linear_MAE,baseline_dir_acc,selected_dir_acc,ma_signal_dir_acc
2020-01-01,2020-06-30,182,powerlaw_feat_a1.0,0.03523554912098681,0.03449566521299286,0.03457036077335649,0.5384615384615384,0.510989010989011,0.5384615384615384
2020-07-01,2020-12-31,184,powerlaw_feat_a2.0,0.031264896909045145,0.031218403019120152,0.03144708568168755,0.4945652173913043,0.4891304347826087,0.5489130434782609
2021-01-01,2021-06-30,181,combined_a1.0_S180,0.050128409610829816,0.04947730330845907,0.04974291573089499,0.5580110497237569,0.5414364640883977,0.5469613259668509
2021-07-01,2021-12-31,184,combined_a3.0_S180,0.03336640343365293,0.03283403128062362,0.032893540316164545,0.44565217391304346,0.5217391304347826,0.46195652173913043
2022-01-01,2022-06-30,181,powerlaw_feat_a3.0,0.03574607157197077,0.03466160439395573,0.03456610220784492,0.44751381215469616,0.48066298342541436,0.5138121546961326
2022-07-01,2022-12-31,184,powerlaw_feat_a1.0,0.03122404941317568,0.03018324101440971,0.030080924751851007,0.4673913043478261,0.4782608695652174,0.483695652173913
2023-01-01,2023-06-30,181,combined_a1.0_S180,0.01975015973197341,0.02019054914913587,0.019984720885776616,0.4972375690607735,0.4861878453038674,0.425414364640884
2023-07-01,2023-12-31,184,combined_a3.0_S365,0.01460749324934607,0.014428943758241355,0.014528597919646866,0.46195652173913043,0.5217391304347826,0.5217391304347826
2024-01-01,2024-06-30,182,combined_a3.0_S180,0.023026709842339226,0.0228939425756336,0.02293022350443736,0.5439560439560439,0.5274725274725275,0.489010989010989
2024-07-01,2024-12-31,184,combined_a3.0_S180,0.02599308191395582,0.02547781598051064,0.025527122350315533,0.46195652173913043,0.5217391304347826,0.5108695652173914
2025-01-01,2025-06-30,181,combined_a3.0_S180,0.028634722721833924,0.02866990790819283,0.02864268072220861,0.5359116022099447,0.47513812154696133,0.5138121546961326
2025-07-01,2025-12-31,184,combined_a1.0_S365,0.026365982906780824,0.02606363340037616,0.026055830014481755,0.5163043478260869,0.5271739130434783,0.5217391304347826
2026-01-01,2026-06-30,181,combined_a2.0_S180,0.024612789245272066,0.02383196972295496,0.023852447530489717,0.46408839779005523,0.47513812154696133,0.5027624309392266
