strategy,fee_rate,n_trades,cumulative_return,annualized_sharpe,max_drawdown,mean_daily_net_return
buy_and_hold,0.0005,1,11.103972432175851,0.884852561424325,-0.7935123166505232,0.0019528039976887614
baseline,0.0005,1054,4.093860358632232,0.7159264554699987,-0.7786522446860072,0.0011756896296479854
decay_selected,0.0005,253,1.3410185104275119,0.5497004761786864,-0.8256569356181579,0.0010976550174209546
ma_signal,0.0005,46,15.366201717410764,1.015008903092256,-0.6047142675067179,0.001711329334579607
buy_and_hold,0.001,1,11.097972585694633,0.8847577681482391,-0.7935123166505229,0.0019525932939382347
baseline,0.001,1054,2.006410383568339,0.5805906507174368,-0.7985102943608297,0.0009536078765927812
decay_selected,0.001,253,1.0627885971625703,0.5230284168461121,-0.82981178842187,0.0010443469685376843
ma_signal,0.001,46,14.993362872445713,1.009232599959848,-0.6047142675067179,0.0017016369620553762
buy_and_hold,0.0025,1,11.079973046250972,0.8844730729540787,-0.7935123166505236,0.0019519611826866543
baseline,0.0025,1054,-0.38288914472952096,0.17479979593491204,-0.938835887126108,0.0002873626174271678
decay_selected,0.0025,253,0.4107130750914232,0.44295381688304203,-0.8440297507243478,0.0008844228218878741
ma_signal,0.0025,46,13.924002925233415,0.9918783308673528,-0.6047142675067179,0.0016725598444826833
buy_and_hold,0.005,1,11.049973813844982,0.8839975307458116,-0.7935123166505234,0.0019509076639340204
baseline,0.005,1054,-0.9561551488257897,-0.4992817849747485,-0.9927155066910985,-0.0008230461478488538
decay_selected,0.005,253,-0.25207488076573337,0.3093800753639603,-0.8723866512029543,0.0006178825774715231
ma_signal,0.005,46,12.295166500399247,0.9628748519019145,-0.6047142675067179,0.0016240979818615284
