strategy,fee_rate,n_trades,cumulative_return,annualized_sharpe,max_drawdown,mean_daily_net_return,trade_gap_to_ma
decay_unconstrained,0.001,23,2.207566858825631,0.6047470759608876,-0.7823057145458825,0.0009532511490928078,33
ma_signal,0.001,56,5.936505260456535,0.9196312435603545,-0.5861295562697891,0.0010545561982641593,0
decay_deadband_0.25std,0.001,9,1.947948578328898,0.5822125061830029,-0.7779518508441858,0.0009192920108906807,47
decay_deadband_0.5std,0.001,5,2.0582173288134853,0.5920182529723966,-0.7715223397166652,0.000934905179255601,51
decay_deadband_0.75std,0.001,5,2.016568488019664,0.5883667134370772,-0.7746339006931957,0.0009281720089246729,51
decay_deadband_1.0std,0.001,3,1.1367356251726517,0.4938779446230786,-0.7902092115335182,0.0007525080605037857,53
decay_deadband_1.5std,0.001,3,0.38561128652837406,0.36787289370904375,-0.852331376225575,0.0005403157222663803,53
decay_deadband_2.0std,0.001,3,1.075709259690825,0.48344988537948397,-0.7721007538675043,0.000704743825474075,53
decay_minhold_3d,0.001,23,2.2107755945107557,0.605297651960758,-0.7591429164379305,0.0009466274783007616,33
decay_minhold_5d,0.001,23,1.7421811001096934,0.5631765043202649,-0.7574726020623063,0.0008741301992953633,33
decay_minhold_10d,0.001,21,1.5607808567227601,0.5444649252797656,-0.762796051105171,0.0008335616983183135,35
decay_minhold_15d,0.001,17,2.6235547921132807,0.6405136201858225,-0.7481973732491212,0.0009719995978624541,39
decay_minhold_20d,0.001,17,2.2146715972680027,0.6077045447026954,-0.7532158035060699,0.0009161237950315721,39
decay_minhold_30d,0.001,17,1.9737089574740518,0.5868923194020326,-0.7490163650092886,0.0008684790513775577,39
