test_window_start,test_window_end,n_test,selected_method,baseline_MAE,selected_MAE,selected_wins
2020-01-01,2020-06-30,182,powerlaw_feat_a1.0,0.02731738864992597,0.026560658342353476,True
2020-07-01,2020-12-31,184,combined_a3.0_S180,0.01966914350267135,0.019745672780828748,False
2021-01-01,2021-06-30,181,powerlaw_feat_a1.0,0.036073326395684446,0.03622222735901536,False
2021-07-01,2021-12-31,184,powerlaw_feat_a2.0,0.026223997757903496,0.02610854434210213,True
2022-01-01,2022-06-30,181,powerlaw_feat_a3.0,0.02649328719940852,0.026188901791913036,True
2022-07-01,2022-12-31,184,combined_a3.0_S180,0.019196651232352025,0.019018666914241592,True
2023-01-01,2023-06-30,181,combined_a1.0_S180,0.018117348416161166,0.01812800111347631,False
2023-07-01,2023-12-31,184,combined_a1.0_S365,0.013149279625568501,0.01287816580825327,True
2024-01-01,2024-06-30,182,combined_a3.0_S365,0.021016817399436692,0.020817255568999563,True
2024-07-01,2024-12-31,184,combined_a3.0_S365,0.020188409770389507,0.019836292704762618,True
2025-01-01,2025-06-30,181,combined_a3.0_S730,0.017448917625974756,0.017179107130945788,True
2025-07-01,2025-12-31,184,combined_a3.0_S730,0.01449200371403112,0.014440289240752203,True
2026-01-01,2026-06-30,181,combined_a2.0_S180,0.018173387143258807,0.017968810782918565,True
