test_window_start,test_window_end,n_test,selected_method,baseline_MAE,selected_MAE,selected_wins
2020-01-01,2020-06-30,182,powerlaw_feat_a1.0,0.03523554912098681,0.03449566521299286,True
2020-07-01,2020-12-31,184,powerlaw_feat_a2.0,0.031264896909045145,0.031218403019120152,True
2021-01-01,2021-06-30,181,combined_a1.0_S180,0.050128409610829816,0.04947730330845907,True
2021-07-01,2021-12-31,184,combined_a3.0_S180,0.03336640343365293,0.03283403128062362,True
2022-01-01,2022-06-30,181,powerlaw_feat_a3.0,0.03574607157197077,0.03466160439395573,True
2022-07-01,2022-12-31,184,powerlaw_feat_a1.0,0.03122404941317568,0.03018324101440971,True
2023-01-01,2023-06-30,181,combined_a1.0_S180,0.01975015973197341,0.02019054914913587,False
2023-07-01,2023-12-31,184,combined_a3.0_S365,0.01460749324934607,0.014428943758241355,True
2024-01-01,2024-06-30,182,combined_a3.0_S180,0.023026709842339226,0.0228939425756336,True
2024-07-01,2024-12-31,184,combined_a3.0_S180,0.02599308191395582,0.02547781598051064,True
2025-01-01,2025-06-30,181,combined_a3.0_S180,0.028634722721833924,0.02866990790819283,False
2025-07-01,2025-12-31,184,combined_a1.0_S365,0.026365982906780824,0.02606363340037616,True
2026-01-01,2026-06-30,181,combined_a2.0_S180,0.024612789245272066,0.02383196972295496,True
